0.507454 0.507469 1
0.822809 0.822806 1
0.42883 0.428821 -1
0.157678 0.157693 -1
0.674884 0.674896 1
0.276618 0.276622 -1
0.374795 0.374795 -1
0.396781 0.396815 -1
0.132116 0.132101 -1
0.966203 0.966249 1
0.961164 0.961159 1
0.0140044 0.014014 -1
0.509361 0.509379 1
0.195082 0.195097 -1
0.853012 0.853012 1
0.852883 0.852896 1
0.574279 0.574282 1
0.316965 0.316939 -1
0.386753 0.386761 -1
0.764792 0.764815 1
0.680442 0.680428 1
0.125299 0.125304 -1
0.619824 0.619818 1
0.687672 0.687662 1
0.760271 0.760289 1
0.227148 0.22713 -1
0.224288 0.224295 -1
0.0150326 0.0150352 -1
0.585322 0.585314 1
0.732755 0.732777 1
0.864553 0.864569 1
0.0788415 0.0788569 -1
0.4326 0.432602 -1
0.804816 0.804801 1
0.50957 0.509589 1
0.405003 0.404988 -1
0.465702 0.465691 -1
0.368576 0.368574 -1
0.56202 0.562033 1
0.552361 0.552356 1
0.18263 0.182606 -1
0.672912 0.672906 1
0.642397 0.642413 1
0.816308 0.816316 1
0.264986 0.264978 -1
0.799168 0.799179 1
0.311442 0.311432 -1
0.715291 0.715278 1
0.913262 0.913265 1
0.703566 0.70358 1
0.0868818 0.0868856 -1
0.507828 0.507835 1
0.77619 0.776196 1
0.503254 0.503257 1
0.0585257 0.0585251 -1
0.668003 0.667995 1
0.409675 0.409686 -1
0.00104673 0.00105247 -1
0.6743 0.674268 1
0.461383 0.461378 -1
0.957667 0.957677 1
0.386593 0.386566 -1
0.260177 0.260171 -1
0.208071 0.208076 -1
0.634661 0.634646 1
0.354351 0.354351 -1
0.135384 0.135381 -1
0.216718 0.216748 -1
0.606084 0.606096 1
0.443809 0.443801 -1
0.480428 0.480418 -1
0.886987 0.886995 1
0.0126171 0.012603 -1
0.578502 0.578495 1
0.0664441 0.0664438 -1
0.292442 0.292432 -1
0.487013 0.487008 -1
0.176237 0.176234 -1
0.496052 0.496044 -1
0.62186 0.621853 1
